RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
316,15550259,User315,663,Germany,Female,37,9,116392.84,1,0,1,90057.7,0
317,15926657,User316,458,Spain,Male,31,3,66571.96,1,1,1,64155.52,0
318,15508455,User317,621,Germany,Male,40,6,135947.97,3,1,1,166545.05,0
319,15661986,User318,547,France,Male,29,6,156097.33,1,1,0,120532.37,0
320,15510734,User319,756,Germany,Female,38,6,120549.19,1,1,1,153868.71,0
321,15802112,User320,557,France,Male,32,3,89938.33,2,0,1,85904.58,1
322,15711848,User321,719,Spain,Male,65,8,28541.36,1,0,0,143572.05,0
323,15805002,User322,832,France,Male,47,3,132533.69,1,1,1,93020.38,0
324,15614384,User323,612,France,Male,30,2,96745.26,1,1,1,93274.88,0
325,15672474,User324,577,France,Male,29,8,165187.1,1,0,0,115317.25,1
326,15704922,User325,672,Germany,Female,34,6,66601.93,3,1,1,119858.61,0
327,15735999,User326,649,Spain,Male,22,0,188262.34,2,1,1,128764.12,0
328,15581569,User327,530,France,Male,31,6,151704.28,2,1,0,89887.46,0
329,15748624,User328,705,France,Male,31,2,33883.93,1,1,1,26158.42,0
330,15532122,User329,850,France,Female,47,7,142206.02,2,1,1,84664.46,1
331,15834512,User330,619,France,Male,34,9,71049.4,2,0,0,1000.0,0
332,15880140,User331,625,Spain,Male,31,0,31298.0,1,1,1,86139.01,1
333,15598501,User332,524,Germany,Female,25,0,142639.56,2,1,1,60039.17,0
334,15578402,User333,688,Germany,Female,27,7,76111.07,3,1,1,140889.26,0
335,15878850,User334,500,France,Male,38,3,96856.65,2,1,1,1000.0,1
336,15737468,User335,517,Germany,Male,36,9,108984.85,4,1,1,199398.37,0
337,15984202,User336,803,Germany,Male,50,6,106736.71,1,1,0,83212.45,1
338,15642948,User337,541,France,Male,32,6,107915.36,1,1,0,21232.42,0
339,15571638,User338,779,France,Male,49,8,116970.14,1,1,1,121133.2,1
340,15541343,User339,832,France,Male,41,1,179539.36,1,1,0,124313.13,0
341,15632432,User340,681,France,Female,38,3,99769.39,2,1,1,121215.73,0
342,15717449,User341,716,France,Male,18,9,76550.43,1,0,1,208084.94,0
343,15527693,User342,850,Spain,Female,26,5,102329.27,2,1,1,58961.11,0
344,15997841,User343,626,Germany,Male,46,1,142710.69,2,1,1,114672.07,0
345,15662551,User344,578,France,Female,52,0,102011.52,2,1,1,107512.59,0
346,15827971,User345,487,France,Male,41,2,189827.87,1,0,1,66351.73,0
347,15788235,User346,655,France,Male,46,3,237441.54,1,1,0,114463.5,0
348,15872649,User347,827,France,Male,34,8,92423.92,2,1,1,162490.83,0
349,15832833,User348,765,Germany,Male,35,3,27163.82,2,1,1,57890.2,0
350,15839427,User349,536,France,Male,32,5,149229.93,1,1,0,122390.61,1
351,15780919,User350,547,Spain,Male,48,8,83914.5,1,1,0,149944.61,1
352,15598503,User351,589,France,Male,42,3,63302.25,1,1,0,132426.06,0
353,15556391,User352,685,France,Male,36,3,111164.25,1,0,0,20833.29,0
354,15958592,User353,625,France,Male,35,8,53490.02,3,1,1,114090.6,0
355,15827251,User354,675,Germany,Female,44,3,130756.72,1,1,0,80903.2,0
356,15549843,User355,685,Germany,Female,42,6,138326.99,3,0,1,160808.86,0
